# Detailed Metadata Review Table

| # | Spot Name | ID | Area | Quality Score | Wave Types | Directions | Ability Level | Hazards | Bottom | Access | Parking | Facilities | Issues |
| 24 | La Pared | la-pared | West | 100/100 | 1 | 2 | Beginner | 4 | 2 | ✅ | ✅ | ✅ | 0 |
| 25 | Playa de la Turbia | la-turbia | South | 98/100 | 1 | 2 | Advanced | 5 | 2 | ✅ | ✅ | ✅ | 0 |
| 26 | Playa de las Mujeres | playa-de-las-mujeres-jarugo | West | 100/100 | 1 | 2 | Intermediate | 4 | 1 | ✅ | ✅ | ✅ | 0 |
| 27 | Las Playas Muelle | las-playas-muelle | Southeast | 98/100 | 1 | 1 | Beginner | 1 | 1 | ✅ | ✅ | ✅ | 0 |
| 28 | Las Salinas | las-salinas | South | 100/100 | 1 | 1 | Advanced | 1 | 2 | ✅ | ✅ | ✅ | 0 |
| 29 | Isla de Lobos | isla-de-lobos | Offshore | 100/100 | 2 | 1 | Expert | 4 | 2 | ✅ | ✅ | ✅ | 0 |
| 30 | Los Hoteles | los-hoteles | North East | 100/100 | 1 | 2 | Beginner | 2 | 1 | ✅ | ✅ | ✅ | 0 |
| 31 | Majanicho | majanicho | North | 100/100 | 1 | 2 | Intermediate | 3 | 1 | ✅ | ✅ | ✅ | 0 |
| 32 | Mejillones | mejillones-popcorn-reef | North | 100/100 | 1 | 2 | Expert | 4 | 2 | ✅ | ✅ | ✅ | 0 |
| 33 | Pico de las Motos | pico-de-las-motos | East | 100/100 | 1 | 1 | Advanced | 3 | 2 | ✅ | ✅ | ✅ | 0 |
| 34 | Playa Blanca | playa-blanca | East | 98/100 | 1 | 2 | Beginner | 3 | 1 | ✅ | ✅ | ✅ | 0 |
| 35 | Puerto Lajas | puerto-lajas | East | 98/100 | 1 | 3 | Intermediate | 2 | 2 | ✅ | ✅ | ✅ | 0 |
| 36 | Punta Blanca | punta-blanca | North | 98/100 | 1 | 2 | Beginner | 4 | 1 | ✅ | ✅ | ✅ | 0 |
| 37 | Punta del Tigre | punta-del-tigre | South | 100/100 | 1 | 1 | Expert | 4 | 2 | ✅ | ✅ | ✅ | 0 |
| 38 | Punta Elena | punta-elena | North East | 100/100 | 1 | 2 | Intermediate | 2 | 1 | ✅ | ✅ | ✅ | 0 |
| 39 | Punta Gorda | punta-gorda | North | 98/100 | 2 | 1 | Beginner | 3 | 1 | ✅ | ✅ | ✅ | 0 |
| 40 | Playa de Garcey | playa-de-garcey-racetracks | West | 100/100 | 1 | 2 | Intermediate | 4 | 2 | ✅ | ✅ | ✅ | 0 |
| 41 | Suicidios | suicidios | North | 100/100 | 1 | 2 | Expert | 4 | 2 | ✅ | ✅ | ✅ | 0 |
| 42 | Waikiki Beach | waikiki-beach | North East | 100/100 | 1 | 2 | Beginner | 2 | 2 | ✅ | ✅ | ✅ | 0 |
