Google Maps Name,Source,Matched ID,Matched Name,Google Latitude,Google Longitude,Existing Latitude,Existing Longitude,Distance (km),Confidence,Match Reason,Recommendation
El Burro,FreshSurf surfspots aus Fuerteventura,el-burro,El Burro,28.6871,-13.8208,28.6871,-13.8208,0.97,HIGH,Exact name match, 0.97km from existing coordinates,CONFIRMED - excellent accuracy
Glass Beach,FreshSurf surfspots aus Fuerteventura,el-burro,El Burro,28.6871,-13.8208,28.6871,-13.8208,1.13,HIGH,Alternative name match, 1.13km from existing coordinates,CONFIRMED - alternative name validated
Flag Beach,FreshSurf surfspots aus Fuerteventura,flag-beach,Flag Beach,28.7125,-13.8423,28.7125,-13.8423,0.98,HIGH,Exact name match, 0.98km from existing coordinates,CONFIRMED - excellent accuracy
Flagbeach,FreshSurf surfspots aus Fuerteventura,flag-beach,Flag Beach,28.7125,-13.8423,28.7125,-13.8423,0.99,MEDIUM,Typo variation, 0.99km from existing coordinates,UPDATE alternative names
El Puertito,FreshSurf surfspots aus Fuerteventura,spew-pits,Spew Pits,28.68,-14.01,28.68,-14.01,0.72,HIGH,Alternative name match, 0.72km from existing coordinates,CONFIRMED - alternative name validated
Playa de Jarugo,FreshSurf surfspots aus Fuerteventura,playa-de-las-mujeres-jarugo,Playa de las Mujeres,28.57758,-14.043362,28.57758,-14.043362,0.86,HIGH,Alternative name match, 0.86km from existing coordinates,CONFIRMED - alternative name validated
Puerto Lajas,FreshSurf surfspots aus Fuerteventura,puerto-lajas,Puerto Lajas,28.533,-13.833,28.533,-13.833,0.90,HIGH,Exact name match, 0.9km from existing coordinates,CONFIRMED - excellent accuracy
The Bubble,FreshSurf surfspots aus Fuerteventura,the-bubble,The Bubble,28.7415,-13.9353,28.7415,-13.9353,1.60,HIGH,Exact name match, 1.6km from existing coordinates,CONFIRMED - good accuracy
La Izquierda,FreshSurf surfspots aus Fuerteventura,la-izquierda-del-hierro,La Izquierda del Hierro,28.7415,-13.9353,28.7415,-13.9353,1.53,HIGH,Partial name match, 1.53km from existing coordinates,CONFIRMED - alternative name validated
Playa Blanca,FreshSurf surfspots aus Fuerteventura,playa-blanca,Playa Blanca,28.4833,-13.85,28.4833,-13.85,1.59,HIGH,Exact name match, 1.59km from existing coordinates,CONFIRMED - good accuracy
El Hierro,FreshSurf surfspots aus Fuerteventura,la-derecha-de-los-alemanes,La Derecha de los Alemanes,28.73923433,-13.95529747,28.73923433,-13.95529747,0.20,HIGH,Alternative name match, 0.2km from existing coordinates,CONFIRMED - alternative name validated
La Pared,FreshSurf surfspots aus Fuerteventura,la-pared,La Pared,28.213524,-14.226007,28.213524,-14.226007,0.32,HIGH,Exact name match, 0.32km from existing coordinates,CONFIRMED - excellent accuracy
Cofete,FreshSurf surfspots aus Fuerteventura,cofete-graveyard,Cofete,28.1118,-14.3902,28.1118,-14.3902,0.35,HIGH,Exact name match, 0.35km from existing coordinates,CONFIRMED - excellent accuracy
El Cotillo,FreshSurf surfspots aus Fuerteventura,el-cotillo-piedra-playa,El Cotillo,28.6742,-14.0076,28.6742,-14.0076,0.50,HIGH,Exact name match, 0.5km from existing coordinates,CONFIRMED - good accuracy
El Muelle,FreshSurf surfspots aus Fuerteventura,el-muelle,El Muelle,28.74248918,-13.86294365,28.74248918,-13.86294365,0.52,HIGH,Exact name match, 0.52km from existing coordinates,CONFIRMED - excellent accuracy
El Burro (Glass Beach),Surf and Unwind surf guide Fuerteventura,el-burro,El Burro,28.687271,-13.831125,28.6871,-13.8208,1.01,HIGH,Alternative name match, 1.01km from existing coordinates,CONFIRMED - alternative name validated
Flag Beach,Surf and Unwind surf guide Fuerteventura,flag-beach,Flag Beach,28.720515,-13.840599,28.7125,-13.8423,0.91,HIGH,Exact name match, 0.91km from existing coordinates,CONFIRMED - excellent accuracy
El Cotillo,Surf and Unwind surf guide Fuerteventura,el-cotillo-piedra-playa,El Cotillo,28.673937,-14.009591,28.6742,-14.0076,0.20,HIGH,Exact name match, 0.2km from existing coordinates,UPDATE coordinates (more accurate)
Rocky Point,Surf and Unwind surf guide Fuerteventura,punta-elena,Punta Elena,28.73,-13.94,28.73,-13.94,8.16,MEDIUM,Alternative name match, 8.16km from existing coordinates,INVESTIGATE moderate distance discrepancy
Playa Blanca,Surf and Unwind surf guide Fuerteventura,playa-blanca,Playa Blanca,28.476637,-13.866552,28.4833,-13.85,1.78,HIGH,Exact name match, 1.78km from existing coordinates,CONFIRMED - good accuracy
Los Lobos,Surf and Unwind surf guide Fuerteventura,isla-de-lobos,Isla de Lobos,28.750188,-13.836116,28.750188,-13.836116,1.28,HIGH,Alternative name match, 1.28km from existing coordinates,CONFIRMED - alternative name validated
The Bubble,Surf and Unwind surf guide Fuerteventura,the-bubble,The Bubble,28.7415,-13.9353,28.7415,-13.9353,1.43,HIGH,Exact name match, 1.43km from existing coordinates,CONFIRMED - good accuracy
El Hiero,Surf and Unwind surf guide Fuerteventura,la-izquierda-del-hierro,La Izquierda del Hierro,28.7415,-13.9353,28.7415,-13.9353,1.60,HIGH,Typo correction, 1.6km from existing coordinates,CONFIRMED - typo validated
Punta Helena, Rocky Point,Surfspots Fuerteventura Planet Surfcamps,punta-elena,Punta Elena,28.7331947,-13.8558841,28.73,-13.94,8.03,MEDIUM,Combined name match, 8.03km from existing coordinates,INVESTIGATE moderate distance discrepancy
El Muelle,Surfspots Fuerteventura Planet Surfcamps,el-muelle,El Muelle,28.7459133,-13.864274,28.74248918,-13.86294365,0.40,HIGH,Exact name match, 0.4km from existing coordinates,UPDATE coordinates (minor improvement)
Bristol,Surfspots Fuerteventura Planet Surfcamps,bristol-shooting-gallery,Bristol,28.7498263,-13.8742304,28.7415,-13.9353,6.02,MEDIUM,Exact name match, 6.02km from existing coordinates,UPDATE coordinates (moderate improvement)
Machanicho,Surfspots Fuerteventura Planet Surfcamps,majanicho,Majanicho,28.74644,-13.9357495,28.743887,-13.936072,0.06,HIGH,Special mapping applied: machanicho → majanicho, 0.1km,CONFIRMED - typo validated
Punta Blanca,Surfspots Fuerteventura Planet Surfcamps,punta-blanca,Punta Blanca,28.7256588,-13.989619,28.725376,-13.989917,0.04,HIGH,Exact name match, 0.04km from existing coordinates,CONFIRMED - excellent accuracy
Lobos,Surfspots Fuerteventura Planet Surfcamps,isla-de-lobos,Isla de Lobos,28.750188,-13.836116,28.750188,-13.836116,1.12,HIGH,Alternative name match, 1.12km from existing coordinates,CONFIRMED - alternative name validated
Cotillo Beach,Surfspots Fuerteventura Planet Surfcamps,el-cotillo-piedra-playa,El Cotillo,28.6742,-14.0076,28.6742,-14.0076,0.30,HIGH,Alternative name match, 0.3km from existing coordinates,CONFIRMED - alternative name validated
El Cotillo,Surfspots Fuerteventura Planet Surfcamps,el-cotillo-piedra-playa,El Cotillo,28.6742,-14.0076,28.6742,-14.0076,0.22,HIGH,Exact name match, 0.22km from existing coordinates,CONFIRMED - excellent accuracy
El Hierro,Surfspots Fuerteventura Planet Surfcamps,la-derecha-de-los-alemanes,La Derecha de los Alemanes,28.73923433,-13.95529747,28.73923433,-13.95529747,0.40,HIGH,Alternative name match, 0.4km from existing coordinates,CONFIRMED - alternative name validated
Machanicho,Surfspots Fuerteventura Planet Surfcamps,majanicho,Majanicho,28.74644,-13.9357495,28.743887,-13.936072,0.13,HIGH,Special mapping applied: machanicho → majanicho, 0.1km,CONFIRMED - typo validated
Punta Blanca,Surfspots Fuerteventura Planet Surfcamps,punta-blanca,Punta Blanca,28.7256588,-13.989619,28.725376,-13.989917,0.16,HIGH,Exact name match, 0.16km from existing coordinates,CONFIRMED - excellent accuracy
Playa del Moro,Surfspots Fuerteventura Planet Surfcamps,playa-del-moro,Playa del Moro,28.6728,-13.8336,28.6728,-13.8336,0.10,HIGH,Exact name match, 0.1km from existing coordinates,CONFIRMED - excellent accuracy
Flag Beach,Surfspots Fuerteventura Planet Surfcamps,flag-beach,Flag Beach,28.7125,-13.8423,28.7125,-13.8423,0.76,HIGH,Exact name match, 0.76km from existing coordinates,CONFIRMED - excellent accuracy
Derecha de los Alemanes,Surfspots Fuerteventura Planet Surfcamps,la-derecha-de-los-alemanes,La Derecha de los Alemanes,28.73923433,-13.95529747,28.73923433,-13.95529747,0.04,HIGH,Alternative name match, 0.04km from existing coordinates,CONFIRMED - alternative name validated
Entubadera,Surfspots Fuerteventura Planet Surfcamps,la-entubadera,La Entubadera,28.7155,-13.8464,28.7155,-13.8464,0.80,HIGH,Alternative name match, 0.8km from existing coordinates,CONFIRMED - alternative name validated
Machanicho,Surfspots Fuerteventura Planet Surfcamps,majanicho,Majanicho,28.74644,-13.9357495,28.743887,-13.936072,0.29,HIGH,Special mapping applied: machanicho → majanicho, 0.3km,CONFIRMED - typo validated
Waikiki Beach,Surfspots Fuerteventura Planet Surfcamps,waikiki-beach,Waikiki Beach,28.73,-13.94,28.73,-13.94,7.28,MEDIUM,Exact name match, 7.28km from existing coordinates,INVESTIGATE moderate distance discrepancy
Punta Elena - Rocky Point,Surfspots Fuerteventura Planet Surfcamps,punta-elena,Punta Elena,28.73,-13.94,28.73,-13.94,8.12,MEDIUM,Combined name match, 8.12km from existing coordinates,INVESTIGATE moderate distance discrepancy
Sotavento · Lagoon,surfermap Fuerteventura,esquinzo-jandia,Esquinzo (Jandía),28.125851038277528,-14.249696731567383,28.0714,-14.304,7.90,LOW,Special mapping applied: sotavento → esquinzo jandia, 7.9km,INVESTIGATE location confusion
Waikiki Beach,surfermap Fuerteventura,waikiki-beach,Waikiki Beach,28.73456354113835,-13.866929411888123,28.73,-13.94,7.14,MEDIUM,Exact name match, 7.14km from existing coordinates,UPDATE coordinates (moderate improvement)
Majanicho,surfermap Fuerteventura,majanicho,Majanicho,28.743204108197805,-13.9351487159729,28.743887,-13.936072,0.12,HIGH,Exact name match, 0.12km from existing coordinates,UPDATE coordinates (minor improvement)
Sotavento · Playa Barca,surfermap Fuerteventura,esquinzo-jandia,Esquinzo (Jandía),28.134896245920107,-14.241671562194824,28.0714,-14.304,8.06,LOW,Special mapping applied: sotavento → esquinzo jandia, 8.1km,INVESTIGATE location confusion
La Entubadera,surfermap Fuerteventura,la-entubadera,La Entubadera,28.71674864238865,-13.839383125305176,28.7155,-13.8464,0.69,HIGH,Exact name match, 0.69km from existing coordinates,UPDATE coordinates (minor improvement)
El Cotillo · Piedra Playa,surfermap Fuerteventura,el-cotillo-piedra-playa,El Cotillo,28.6734195,-14.009285,28.6742,-14.0076,0.16,HIGH,Alternative name match, 0.16km from existing coordinates,UPDATE coordinates (more accurate)
Majanicho · Inside,surfermap Fuerteventura,majanicho,Majanicho,28.743204108197805,-13.9351487159729,28.743887,-13.936072,0.14,HIGH,Alternative name match, 0.14km from existing coordinates,CONFIRMED - alternative name validated
El Cotillo,surfermap Fuerteventura,el-cotillo-piedra-playa,El Cotillo,28.6742,-14.0076,28.6742,-14.0076,0.25,HIGH,Exact name match, 0.25km from existing coordinates,CONFIRMED - excellent accuracy
El Hierro,surfermap Fuerteventura,la-derecha-de-los-alemanes,La Derecha de los Alemanes,28.73923433,-13.95529747,28.73923433,-13.95529747,0.28,HIGH,Alternative name match, 0.28km from existing coordinates,CONFIRMED - alternative name validated
La Derecha de los Alemanes,surfermap Fuerteventura,la-derecha-de-los-alemanes,La Derecha de los Alemanes,28.73923433,-13.95529747,28.73923433,-13.95529747,0.21,HIGH,Exact name match, 0.21km from existing coordinates,CONFIRMED - excellent accuracy
Punta Blanca,surfermap Fuerteventura,punta-blanca,Punta Blanca,28.7256588,-13.989619,28.725376,-13.989917,0.29,HIGH,Exact name match, 0.29km from existing coordinates,CONFIRMED - excellent accuracy
Generoso,surfermap Fuerteventura,generoso,Generoso,28.756348,-13.882551,28.756348,-13.882551,0.36,HIGH,Exact name match, 0.36km from existing coordinates,CONFIRMED - excellent accuracy
Playa del Moro,surfermap Fuerteventura,playa-del-moro,Playa del Moro,28.6728,-13.8336,28.6728,-13.8336,0.15,HIGH,Exact name match, 0.15km from existing coordinates,CONFIRMED - excellent accuracy
Majanicho,surfermap Fuerteventura,majanicho,Majanicho,28.743204108197805,-13.9351487159729,28.743887,-13.936072,0.44,HIGH,Exact name match, 0.44km from existing coordinates,CONFIRMED - excellent accuracy
El Muelle,surfermap Fuerteventura,el-muelle,El Muelle,28.74248918,-13.86294365,28.74248918,-13.86294365,0.52,HIGH,Exact name match, 0.52km from existing coordinates,CONFIRMED - excellent accuracy
La Entubadera,surfermap Fuerteventura,la-entubadera,La Entubadera,28.71674864238865,-13.839383125305176,28.7155,-13.8464,0.84,HIGH,Exact name match, 0.84km from existing coordinates,CONFIRMED - good accuracy
Majanicho · El Pueblo,surfermap Fuerteventura,majanicho,Majanicho,28.743204108197805,-13.9351487159729,28.743887,-13.936072,0.29,MEDIUM,Alternative name match, 0.29km from existing coordinates,CONFIRMED - alternative name validated
Playa de Garcey,surfermap Fuerteventura,playa-de-garcey-racetracks,Playa de Garcey,28.3465,-14.1782,28.3465,-14.1782,0.17,HIGH,Exact name match, 0.17km from existing coordinates,UPDATE coordinates (more accurate)
Flag Beach,surfermap Fuerteventura,flag-beach,Flag Beach,28.7125,-13.8423,28.7125,-13.8423,0.98,HIGH,Exact name match, 0.98km from existing coordinates,CONFIRMED - good accuracy
El Burro,surfermap Fuerteventura,el-burro,El Burro,28.6871,-13.8208,28.6871,-13.8208,0.99,HIGH,Exact name match, 0.99km from existing coordinates,CONFIRMED - excellent accuracy
Waikiki Beach,surfermap Fuerteventura,waikiki-beach,Waikiki Beach,28.73456354113835,-13.866929411888123,28.73,-13.94,7.16,MEDIUM,Exact name match, 7.16km from existing coordinates,UPDATE coordinates (moderate improvement)
Galera Beach,surfermap Fuerteventura,waikiki-beach,Waikiki Beach,28.73456354113835,-13.866929411888123,28.73,-13.94,7.16,MEDIUM,Alternative name match, 7.16km from existing coordinates,UPDATE alternative names
Puerto Lajas,surfermap Fuerteventura,puerto-lajas,Puerto Lajas,28.533,-13.833,28.533,-13.833,1.21,HIGH,Exact name match, 1.21km from existing coordinates,CONFIRMED - good accuracy
La Caleta,surfermap Fuerteventura,la-caleta-boneyard,La Caleta,28.6742,-14.0076,28.6742,-14.0076,11.82,MEDIUM,Exact name match, 11.82km from existing coordinates,INVESTIGATE major coordinate discrepancy
La Caleta,surfermap Fuerteventura,la-caleta-boneyard,La Caleta,28.6742,-14.0076,28.6742,-14.0076,12.02,MEDIUM,Exact name match, 12.02km from existing coordinates,INVESTIGATE major coordinate discrepancy
Playa Blanca,surfermap Fuerteventura,playa-blanca,Playa Blanca,28.4833,-13.85,28.4833,-13.85,1.75,HIGH,Exact name match, 1.75km from existing coordinates,CONFIRMED - good accuracy
Mejillones,surfermap Fuerteventura,mejillones-popcorn-reef,Mejillones,28.7415,-13.9353,28.7415,-13.9353,3.69,MEDIUM,Exact name match, 3.69km from existing coordinates,UPDATE coordinates (moderate improvement)
Bristol,surfermap Fuerteventura,bristol-shooting-gallery,Bristol,28.7498263,-13.8742304,28.7415,-13.9353,6.03,MEDIUM,Exact name match, 6.03km from existing coordinates,UPDATE coordinates (moderate improvement)
Bajo del Medio,surfermap Fuerteventura,punta-elena,Punta Elena,28.73,-13.94,28.73,-13.94,7.92,MEDIUM,Alternative name match, 7.92km from existing coordinates,INVESTIGATE moderate distance discrepancy
Bajo del Medio,surfermap Fuerteventura,punta-elena,Punta Elena,28.73,-13.94,28.73,-13.94,7.94,MEDIUM,Alternative name match, 7.94km from existing coordinates,INVESTIGATE moderate distance discrepancy
Punta Gorda,surfermap Fuerteventura,punta-gorda,Punta Gorda,28.687,-13.83,28.687,-13.83,16.84,MEDIUM,Exact name match, 16.84km from existing coordinates,INVESTIGATE major coordinate discrepancy
La Concava,surfermap Fuerteventura,la-concava,La Concava,28.7415,-13.9353,28.7415,-13.9353,3.99,MEDIUM,Exact name match, 3.99km from existing coordinates,UPDATE coordinates (moderate improvement)
